Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00087394070526145,-1.553490669437E-11,0.0456311332625339,0,0,0,0.629381616423821,0.00214425027797715,5.52594737907689E-11,-1.88262772252783E-05,0.00227251927301559,-4.0554460663586E-15,0.00424547239869687,0,0,0,0,0,0,package://Omni/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Omni/meshes/base_link.STL,,than-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_r_f,2.22044604925031E-16,6.93889390390723E-17,0.00799999999999994,0,0,0,0.0378207576868009,2.85049643711783E-06,-6.05011130478897E-22,1.27054942088145E-21,2.85049643711783E-06,3.21670751267857E-22,5.19808205118168E-06,0,0,0,0,0,0,package://Omni/meshes/link_r_f.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Omni/meshes/link_r_f.STL,,omni-1,Origin_joint_r_f,Axis_joint_r_f,joint_r_f,continuous,0.10695,-0.10695,0.0145,-1.5708,0,0.7854,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_l_f,-5.55111512312578E-17,-1.38777878078145E-16,0.0079999999999999,0,0,0,0.0378207576868008,2.85049643711785E-06,1.9828280191704E-22,1.05879118406788E-22,2.85049643711784E-06,-3.0247188040906E-22,5.19808205118168E-06,0,0,0,0,0,0,package://Omni/meshes/link_l_f.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Omni/meshes/link_l_f.STL,,omni-2,Origin_joint_l_f,Axis_joint_l_f,joint_l_f,continuous,0.10695,0.10695,0.0145,-1.5708,0,2.3562,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_r_b,-8.32667268468867E-17,4.16333634234434E-17,0.00800000000000006,0,0,0,0.0378207576868009,2.85049643711785E-06,3.36876046500654E-21,9.52912065661088E-22,2.85049643711785E-06,-4.64923506358761E-22,5.1980820511817E-06,0,0,0,0,0,0,package://Omni/meshes/link_r_b.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Omni/meshes/link_r_b.STL,,omni-4,Origin_joint_r_b,Axis_joint_r_b,joint_r_b,continuous,-0.10694543648263,-0.10694543648263,0.0145000000000001,-1.5707963267949,0,-0.785398163397453,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_l_b,0,-1.80411241501588E-16,0.00800000000000003,0,0,0,0.0378207576868009,2.85049643711786E-06,-6.10085181530552E-21,-9.52912065661088E-22,2.85049643711785E-06,-8.26224444492209E-22,5.19808205118169E-06,0,0,0,0,0,0,package://Omni/meshes/link_l_b.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Omni/meshes/link_l_b.STL,,omni-3,Origin_joint_l_b,Axis_joint_l_b,joint_l_b,continuous,-0.10695,0.10695,0.0145,-1.5708,0,-2.3562,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_lidar,0.00829409957033961,0,-0.021298857777209,0,0,0,0.146695752131392,6.22721120792819E-05,-1.53022570849076E-20,1.88658076337422E-05,0.000109673997590948,1.13544428735481E-20,0.000125682524275729,0,0,0,0,0,0,package://Omni/meshes/link_lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Omni/meshes/link_lidar.STL,,ydlidar x4-1,Origin_joint_lidar,,joint_lidar,fixed,-0.0065,0,0.099,0,0,0,base_link,0,0,0,,,,,,,0.1,0.1,,,,
link_cam,-0.011444022515556,-0.00170501551405064,-0.000136099826490349,0,0,0,0.107910296079292,7.12549049053699E-05,-1.78365687781969E-08,4.92930994375656E-08,7.71001342380399E-06,2.21028647675028E-10,7.02566214516623E-05,0,0,0,0,0,0,package://Omni/meshes/link_cam.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Omni/meshes/link_cam.STL,,RealSense_D435-1,Origin_joint_cam,,joint_cam,fixed,0.12,0.0017162,0.129,0,0,0,base_link,0,0,0,,,,,,,0.1,0.1,,,,
link_gps,-0.000234344503673413,-0.000480179325974467,-0.00809401190680181,0,0,0,0.0273352261246604,3.55571588602812E-06,-1.49360731636854E-08,1.01926750419812E-08,3.68244658212687E-06,-5.55452534168042E-10,7.06140819524659E-06,0,0,0,0,0,0,package://Omni/meshes/link_gps.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Omni/meshes/link_gps.STL,,GPS модуль Ublox NEO-M8N-0-01-1,Origin_joint_gps,,joint_gps,fixed,-0.10128,0.00012301,0.068139,0,0,0,base_link,0,0,0,,,,,,,0.1,0.1,,,,
link_base_sung,-5.55111512312578E-17,2.77555756156289E-17,0.00251696154569289,0,0,0,0.327529187998142,0.00036497029704894,2.63663820251208E-20,-1.01257936454411E-19,0.00036497029704894,-1.16366910317687E-20,0.0006664691117042,0,0,0,0,0,0,package://Omni/meshes/link_base_sung.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Omni/meshes/link_base_sung.STL,,de_sung-1,Origin_joint_base_sung,,joint_base_sung,fixed,0,0,0.124,0,0,0,base_link,0,0,0,,,,,,,0.1,0.1,,,,
link_1,-0.000935849685649387,0.0035887933254565,0.0207980038126824,0,0,0,0.0984203522483337,6.58482471078486E-05,1.56489131057454E-06,-7.35014624325114E-08,6.02552837375316E-05,2.81863168662668E-07,5.42301344406042E-05,0,0,0,0,0,0,package://Omni/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Omni/meshes/link_1.STL,,join_1-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,0.045,0,0,0,link_base_sung,0,0,1,,,,,,,0.1,0.1,,,,
